sep=;
time;model_id;model_name;port_name;data
8;5;cr1;;<BLUE>
8;6;cr2;;<RED>
9;1;cb1;outputNeighborhood;<BLUE>
9;1;cb1;;<BLUE>
9;2;cb3;;<BLUE>
9;3;cb2;;<BLUE>
9;4;cr3;;<RED>
9;5;cr1;outputNeighborhood;<BLUE>
9;5;cr1;;<BLUE>
9;6;cr2;;<RED>
10;1;cb1;;<BLUE>
10;4;cr3;outputNeighborhood;<RED>
10;4;cr3;;<RED>
10;5;cr1;outputNeighborhood;<BLUE>
10;5;cr1;;<BLUE>
10;6;cr2;outputNeighborhood;<RED>
10;6;cr2;;<RED>
11;1;cb1;;<BLUE>
11;4;cr3;outputNeighborhood;<RED>
11;4;cr3;;<RED>
11;5;cr1;outputNeighborhood;<BLUE>
11;5;cr1;;<BLUE>
11;6;cr2;outputNeighborhood;<RED>
11;6;cr2;;<RED>
12;1;cb1;;<BLUE>
12;4;cr3;outputNeighborhood;<RED>
12;4;cr3;;<BLUE>
12;5;cr1;outputNeighborhood;<BLUE>
12;5;cr1;;<BLUE>
12;6;cr2;outputNeighborhood;<RED>
12;6;cr2;;<RED>
13;1;cb1;;<BLUE>
13;4;cr3;outputNeighborhood;<BLUE>
13;4;cr3;;<RED>
13;5;cr1;outputNeighborhood;<BLUE>
13;5;cr1;;<RED>
13;6;cr2;outputNeighborhood;<RED>
13;6;cr2;;<BLUE>
14;1;cb1;;<BLUE>
14;4;cr3;outputNeighborhood;<RED>
14;4;cr3;;<RED>
14;5;cr1;outputNeighborhood;<RED>
14;5;cr1;;<BLUE>
14;6;cr2;outputNeighborhood;<BLUE>
14;6;cr2;;<RED>
15;1;cb1;outputNeighborhood;<BLUE>
15;1;cb1;;<BLUE>
15;2;cb3;;<BLUE>
15;3;cb2;;<BLUE>
15;4;cr3;outputNeighborhood;<RED>
15;4;cr3;;<BLUE>
15;5;cr1;outputNeighborhood;<BLUE>
15;5;cr1;;<RED>
15;6;cr2;outputNeighborhood;<RED>
15;6;cr2;;<RED>
16;1;cb1;;<BLUE>
16;4;cr3;outputNeighborhood;<BLUE>
16;4;cr3;;<BLUE>
16;5;cr1;outputNeighborhood;<RED>
16;5;cr1;;<RED>
16;6;cr2;outputNeighborhood;<RED>
16;6;cr2;;<RED>
17;1;cb1;outputNeighborhood;<BLUE>
17;1;cb1;;<BLUE>
17;2;cb3;;<BLUE>
17;3;cb2;;<BLUE>
17;4;cr3;outputNeighborhood;<BLUE>
17;4;cr3;;<RED>
17;5;cr1;outputNeighborhood;<RED>
17;5;cr1;;<BLUE>
17;6;cr2;outputNeighborhood;<RED>
17;6;cr2;;<RED>
18;1;cb1;outputNeighborhood;<BLUE>
18;1;cb1;;<BLUE>
18;2;cb3;;<BLUE>
18;3;cb2;;<BLUE>
18;4;cr3;outputNeighborhood;<RED>
18;4;cr3;;<RED>
18;5;cr1;outputNeighborhood;<BLUE>
18;5;cr1;;<BLUE>
18;6;cr2;outputNeighborhood;<RED>
18;6;cr2;;<RED>
19;1;cb1;;<BLUE>
19;4;cr3;outputNeighborhood;<RED>
19;4;cr3;;<RED>
19;5;cr1;outputNeighborhood;<BLUE>
19;5;cr1;;<BLUE>
19;6;cr2;outputNeighborhood;<RED>
19;6;cr2;;<BLUE>
20;1;cb1;;<BLUE>
20;4;cr3;outputNeighborhood;<RED>
20;4;cr3;;<RED>
20;5;cr1;outputNeighborhood;<BLUE>
20;5;cr1;;<RED>
20;6;cr2;outputNeighborhood;<BLUE>
20;6;cr2;;<BLUE>
21;1;cb1;;<BLUE>
21;4;cr3;outputNeighborhood;<RED>
21;4;cr3;;<RED>
21;5;cr1;outputNeighborhood;<RED>
21;5;cr1;;<BLUE>
21;6;cr2;outputNeighborhood;<BLUE>
21;6;cr2;;<RED>
22;1;cb1;outputNeighborhood;<BLUE>
22;1;cb1;;<BLUE>
22;2;cb3;;<BLUE>
22;3;cb2;;<BLUE>
22;4;cr3;outputNeighborhood;<RED>
22;4;cr3;;<RED>
22;5;cr1;outputNeighborhood;<BLUE>
22;5;cr1;;<RED>
22;6;cr2;outputNeighborhood;<RED>
22;6;cr2;;<RED>
23;1;cb1;;<BLUE>
23;4;cr3;outputNeighborhood;<RED>
23;4;cr3;;<RED>
23;5;cr1;outputNeighborhood;<RED>
23;5;cr1;;<RED>
23;6;cr2;outputNeighborhood;<RED>
23;6;cr2;;<RED>
24;1;cb1;outputNeighborhood;<BLUE>
24;1;cb1;;<BLUE>
24;2;cb3;;<BLUE>
24;3;cb2;;<BLUE>
24;4;cr3;;<RED>
24;5;cr1;outputNeighborhood;<RED>
24;5;cr1;;<RED>
24;6;cr2;;<RED>
25;1;cb1;outputNeighborhood;<BLUE>
25;1;cb1;;<BLUE>
25;2;cb3;;<BLUE>
25;3;cb2;;<BLUE>
25;4;cr3;;<RED>
25;5;cr1;outputNeighborhood;<RED>
25;5;cr1;;<RED>
25;6;cr2;;<RED>
26;1;cb1;outputNeighborhood;<BLUE>
26;1;cb1;;<BLUE>
26;2;cb3;;<BLUE>
26;3;cb2;;<BLUE>
26;4;cr3;;<RED>
26;5;cr1;outputNeighborhood;<RED>
26;5;cr1;;<RED>
26;6;cr2;;<RED>
27;1;cb1;outputNeighborhood;<BLUE>
27;1;cb1;;<RED>
27;2;cb3;;<BLUE>
27;3;cb2;;<BLUE>
27;4;cr3;;<RED>
27;5;cr1;outputNeighborhood;<RED>
27;5;cr1;;<RED>
27;6;cr2;;<RED>
28;1;cb1;outputNeighborhood;<RED>
28;1;cb1;;<BLUE>
28;2;cb3;;<RED>
28;3;cb2;;<BLUE>
28;4;cr3;;<RED>
28;5;cr1;outputNeighborhood;<RED>
28;5;cr1;;<RED>
28;6;cr2;;<RED>
29;1;cb1;outputNeighborhood;<BLUE>
29;1;cb1;;<RED>
29;2;cb3;outputNeighborhood;<RED>
29;2;cb3;;<RED>
29;3;cb2;outputNeighborhood;<BLUE>
29;3;cb2;;<BLUE>
29;5;cr1;;<BLUE>
30;1;cb1;outputNeighborhood;<RED>
30;1;cb1;;<BLUE>
30;2;cb3;outputNeighborhood;<RED>
30;2;cb3;;<BLUE>
30;3;cb2;outputNeighborhood;<BLUE>
30;3;cb2;;<BLUE>
30;4;cr3;;<RED>
30;5;cr1;outputNeighborhood;<BLUE>
30;5;cr1;;<RED>
30;6;cr2;;<RED>
31;1;cb1;outputNeighborhood;<BLUE>
31;1;cb1;;<BLUE>
31;2;cb3;outputNeighborhood;<BLUE>
31;2;cb3;;<BLUE>
31;3;cb2;outputNeighborhood;<BLUE>
31;3;cb2;;<BLUE>
31;4;cr3;outputNeighborhood;<RED>
31;4;cr3;;<RED>
31;5;cr1;outputNeighborhood;<RED>
31;5;cr1;;<RED>
31;6;cr2;outputNeighborhood;<RED>
31;6;cr2;;<RED>
32;1;cb1;outputNeighborhood;<BLUE>
32;1;cb1;;<BLUE>
32;2;cb3;;<BLUE>
32;3;cb2;;<BLUE>
32;4;cr3;;<RED>
32;5;cr1;outputNeighborhood;<RED>
32;5;cr1;;<RED>
32;6;cr2;;<RED>
33;1;cb1;outputNeighborhood;<BLUE>
33;1;cb1;;<BLUE>
33;2;cb3;;<BLUE>
33;3;cb2;;<BLUE>
33;4;cr3;;<RED>
33;5;cr1;outputNeighborhood;<RED>
33;5;cr1;;<RED>
33;6;cr2;;<RED>
34;1;cb1;outputNeighborhood;<BLUE>
34;1;cb1;;<BLUE>
34;2;cb3;;<BLUE>
34;3;cb2;;<BLUE>
34;4;cr3;;<RED>
34;5;cr1;outputNeighborhood;<RED>
34;5;cr1;;<BLUE>
34;6;cr2;;<RED>
35;1;cb1;outputNeighborhood;<BLUE>
35;1;cb1;;<BLUE>
35;2;cb3;;<BLUE>
35;3;cb2;;<BLUE>
35;4;cr3;;<BLUE>
35;5;cr1;outputNeighborhood;<BLUE>
35;5;cr1;;<BLUE>
35;6;cr2;;<RED>
36;1;cb1;;<BLUE>
36;4;cr3;outputNeighborhood;<BLUE>
36;4;cr3;;<BLUE>
36;5;cr1;outputNeighborhood;<BLUE>
36;5;cr1;;<BLUE>
36;6;cr2;outputNeighborhood;<RED>
36;6;cr2;;<RED>
37;1;cb1;;<BLUE>
37;4;cr3;outputNeighborhood;<BLUE>
37;4;cr3;;<BLUE>
37;5;cr1;outputNeighborhood;<BLUE>
37;5;cr1;;<BLUE>
37;6;cr2;outputNeighborhood;<RED>
37;6;cr2;;<BLUE>
38;1;cb1;;<BLUE>
38;4;cr3;outputNeighborhood;<BLUE>
38;4;cr3;;<BLUE>
38;5;cr1;outputNeighborhood;<BLUE>
38;5;cr1;;<BLUE>
38;6;cr2;outputNeighborhood;<BLUE>
38;6;cr2;;<BLUE>
38;1;cb1;;<BLUE>
38;2;cb3;;<BLUE>
38;3;cb2;;<BLUE>
38;4;cr3;;<BLUE>
38;5;cr1;;<BLUE>
38;6;cr2;;<BLUE>
